,Kursus id,Engelsk titel,Dansk titel,Point( ECTS ),Kursustype,Undervisningens placering,Anbefalede forudsætninger,Kursusansvarlig,Institut,Link,arktisk byggeri og infrastruktur (dip),byggeri og infrastruktur (dip),bygningsdesign (dip),eksport og teknologi (dip),elektrisk energiteknologi (dip),elektroteknologi (dip),fiskeriteknologi (dip),fødevaresikkerhed og -kvalitet (dip),it-elektronik (dip),it og økonomi (dip),kemi- og bioteknik (dip),kemiteknik og international business (dip),maskinteknik (dip),"mobilitet, transport og logistik (dip)",proces og innovation (dip),produktion (dip),softwareteknologi (dip),sundhedsteknologi (dip),byggeteknologi (bac),bygningsdesign (bac),bæredygtigt energidesign (bac),cyberteknologi (bac),data science og management (bac),design og innovation (bac),elektroteknologi (bac),fysik og nanoteknologi (bac),fødevarer og ernæring (uddannelsessamarbejde) (bac),general engineering (bac),geofysik og rumteknologi (bac),kemi og teknologi (bac),kunstig intelligens og data (bac),life science og teknologi (bac),matematik og teknologi (bac),medicin og teknologi (bac),miljøteknologi (bac),produktion og konstruktion (bac),softwareteknologi (bac),akvatisk videnskab og teknologi (kan),anvendt kemi (kan),autonome systemer (kan),avancerede materialer og sundhedsteknologi (kan),bioinformatik og systembiologi (kan),bioteknologi (kan),business analytics (kan),byggeteknologi (kan),bygningsdesign (kan),bæredygtig energi (kan),design og innovation (kan),elektroteknologi (kan),farmateknologi (kan),fødevareteknologi (kan),fotonik (kan),fysik og nanoteknologi (kan),geofysik og rumteknologi (kan),industriel økonomi og teknologiledelse (kan),informationsteknologi (kan),kemisk og biokemisk teknologi (kan),kommunikationsteknologier og systemdesign (kan),konstruktion og mekanik (kan),kvantitativ biologi og sygdomsmodellering (kan),lyd og akustisk teknologi (kan),marin ingeniørvidenskab (kan),matematisk modellering og computing (kan),materiale- og procesteknologi (kan),medicin og teknologi (kan),menneskeorienteret kunstig intelligens (kan),miljøteknologi (kan),olie- og gasteknologi (kan),teknologisk entreprenørskab (kan),transport og logistik (kan),vindenergi (kan)
20,01410,Cryptology 1,Kryptologi 1,5,Kandidat,Campus Lyngby,"01019,01017,01006,01005",Christian Majenz,01 Institut for Matematik og Computer Science,https://kurser.dtu.dk/course/01410,,,,,,,,,tilvalgskurser,,,,,,,,tilvalgskurser,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
21,01415,Computational Discrete Mathematics,Computational Discrete Mathematics,5,Kandidat,Campus Lyngby,"01017,01426,01018",Pieter Hendrik Turdus Beelen,01 Institut for Matematik og Computer Science,https://kurser.dtu.dk/course/01415,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,teknologisk specialisering,,,,,,,,
22,01418,Introduction to Partial Differential Equations,Introduktion til partielle differentialligninger,5,"Bachelor, Kandidat",Campus Lyngby,"01025,01037,01035,01034",Mirza Karamehmedovic,01 Institut for Matematik og Computer Science,https://kurser.dtu.dk/course/01418,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,teknologisk linjefag,,,,,,,,,teknologisk specialisering,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
23,01426,Cryptology 2,Kryptologi 2,5,Kandidat,Campus Lyngby,01410,Jens Tyge Tiessen,01 Institut for Matematik og Computer Science,https://kurser.dtu.dk/course/01426,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,teknologisk specialisering,,,,,,,,
24,01527,Graph Theory II,Videregående grafteori,5,"Ph.d., Fagligt fokuseret kursus",Campus Lyngby,01227,Carsten Thomassen,01 Institut for Matematik og Computer Science,https://kurser.dtu.dk/course/01527,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
25,01617,Introduction to Dynamical Systems,Introduktion til Dynamiske Systemer,5,Kandidat,Campus Lyngby,"01025,01037,01035,01034",Christian Henriksen,01 Institut for Matematik og Computer Science,https://kurser.dtu.dk/course/01617,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,teknologisk specialisering,,,,,,,,
26,01621,Advanced Dynamical Systems: Global Theory,Videregående dynamiske systemer: Global teori,5,Kandidat,Campus Lyngby,"01257,01125,01617",Morten Brøns,01 Institut for Matematik og Computer Science,https://kurser.dtu.dk/course/01621,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,teknologisk specialisering,,,,,,,,
27,01622,Advanced Dynamical Systems: Applications in Science andEngineering,Videregående dynamiske systemer med teknologiskeanvendelser,5,Kandidat,Campus Lyngby,01617,Poul Georg Hjorth,01 Institut for Matematik og Computer Science,https://kurser.dtu.dk/course/01622,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,teknologisk specialisering,,,,,,,,
28,01666,Project work - Bachelor of Mathematics and Technology,Fagprojekt - Bachelor i Matematik og Teknologi,10,Bachelor,Campus Lyngby,,Mads Peter Sørensen,01 Institut for Matematik og Computer Science,https://kurser.dtu.dk/course/01666,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,projekter og almene fag,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
29,01715,Functional Analysis,Funktionalanalyse,5,Kandidat,Campus Lyngby,"01325,01125",Ole Christensen,01 Institut for Matematik og Computer Science,https://kurser.dtu.dk/course/01715,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,teknologisk specialisering,,,,,,,,
